,Recommended,Review,count_exc,Polarity
43,1,know thermal expect prepared considering run second large ordered nice oversized want go stretched looks colorful,0,0.15922619
44,1,beautiful tried local comfortable flattering bad tucking cant ruching front little dressier priced small,2,0.049821429
45,1,love bought online looked little loose got seemed tight took ordered great,1,0.157125687
48,1,roomy warm,1,0.526666667
49,1,love beautiful unique received got small adorable,2,0.410833333
50,1,fits nice comfortable tried washed different purchased,0,0.393333333
51,1,love favorite small perfect,1,0.354761905
53,1,flattering comfortable soft comfortable unusual asymmetrical appears front positioned cant attached includes front visual adds little ruching helps hide done means,0,0.130357143
54,1,cute nice oversized picky unusual great slight lightweight tried visible great many gorgeous decided,0,0.384615385
55,1,soft adorable comfortable looks great dark,1,0.366666667
57,0,boring great loved layed good,0,0.228571429
59,1,soft comfortable ive looking provide casual little supportive nice remove,0,0.173611111
60,1,gorgeous beautiful stunning flattering cant small worked fell keyhole,1,0.491964286
61,0,sewn small huge make comfortable including thin gives,3,0.025
62,1,got looking wish happy comfortable,0,0.23
63,1,comfortable light floral great makes,2,0.514285714
64,1,loved happy,1,0.666666667
66,1,received tried smitten bought sure glad bought similar expect think gotten extra,0,0.248333333
67,1,beautiful kept eyeing wavering little wonky went say run large go petite regular perfect looks soft comfortable,3,0.295663265
68,0,wanted loved wanted soft used unbuttoned difficult,0,0.115
69,0,great wanted strange fit stay weird worked standing fell beautiful loved,2,0.266666667
70,1,cute shaped apparent measured xs keep natural looking thinking asking take proportioned,0,0.20625
71,0,short cant flattering endowed looked gorgeous tall super tiny fit small huge,2,0.111111111
72,1,beautiful short bought fitted uncomfortable goes makes found went navy,0,0.107142857
75,1,tried swallow whole think flattering read see recommended specific,0,0.222916667
76,1,large loved fitted big altered chose,0,0.346011905
77,0,broke disappointing going try replace annoying come,0,-0.13
78,1,obsessed small perfect luxurious obsessed want everyday drapey little tight,0,-0.079464286
79,1,dry adorable perfect casual overpriced adjustable found normal fit fine gets dry planned,1,0.244230769
80,1,elegant classic come tried hemmed overwhelming stunning great vibrant makes classic elegant contemporary tried happen raved told,2,0.319047619
82,1,pictured ordered dark recieved colored great love different ive seen bulky helps heavy appropriate insulated average removable,3,0.209693878
83,1,purchased last wonderful greenish beautiful attached removed great worn different looks great camisole worn come big,0,0.4325
84,1,casual received typical crazy thin said ill cold dry developing length adds little,0,-0.135763889
86,1,neutral tried right fitted te blue blue neutral looked stylish decided keep hit right short normal,0,0.226785714
87,1,true large debated n loose tighten looks flattering tried looked huge pinched see good overall great eptite,0,0.237484737
88,0,huge huge ordered petite wide returning,0,0.3
89,1,bought online excited tried fit lackedsomething little long little short lacked overall tailored gorgeous wanted bought,1,0.156060606
90,1,sweet made unique flattering little got difficult give,2,0.2546875
94,1,made beautiful see worn prefer going keep great,0,0.466666667
95,1,casual purchased online received pleased elegant casual loved v various mosswhich think greenish found liked green fantastic,2,0.134615385
97,0,huge excited red huge go looked,1,0.134375
99,0,comfortable everyday bought received looked kept slipping big upper comfortable going,0,0.181944444
100,1,sure much wearing comfortable underneath lean,0,0.3375
101,1,simple stylish big little tried bought small big great seamed full great neutral,0,0.228409091
102,1,stunning stunning purchased received little big believe looks look great constructed unique,1,0.3734375
103,0,cheap,0,0.4
105,1,excited bought silkvelvet disappointed appears luxurious wellmade snake slithering comes,0,0.020833333
106,1,beautiful runs small excited beautiful gorgeous small short returning gave beautiful great,3,0.347727273
107,1,beautiful ordered ivory endowed beautiful decided keeping oversized,0,0.252678571
108,1,pictured burnt received numerous paired tucked true small tight,2,0.246428571
110,0,poor thin poor thin terrible little returned,0,-0.398214286
111,1,keeping thin lined coming made short ordered petite liked high liking hit perfect,0,0.267792208
112,1,beautiful stunning ordered small run small disagree runs true generous dressed nice comfy casual small true broad,4,0.144166667
113,1,comfortable stylish true got got,1,0.37
114,0,disappointing flattering flirty received new faded washed red looks laundered stiff new disappointed received going dear make sure,0,-0.06017316
115,1,worked,0,0.333333333
116,1,nailed,0,-0.083333333
118,0,fitting beautiful wanted fitting sized pulled found narrow made unflattering overall,0,0.093197279
119,1,cozy casual shows unexpected adds turned fit true stressed current going,0,0.221666667
120,1,striped striped tshirt cute little front wonderful accent different,1,0.544642857
123,1,beautiful gorgeous reading previous ordered glad went regular,6,0.466666667
124,0,excited neutral find returned,0,0.21875
125,1,made designed mentioned made many tall wrong made found large made,0,0.183630952
128,1,nice olive nice funny looks odd tied laying wished,0,0.319047619
129,1,great super casual gives stylish long sleeve,0,0.133333333
131,1,ok ok wide narrow nonflattering made squareapple squareapple great tummy pooch donecontrasting rolling negative dry,0,0.123076923
132,1,soft thin comfortable nice seems stretched little hard staying closed happy great casual,0,0.082291667
133,1,stylish love many tied closed soft add heavyhot,2,0.271428571
134,1,perfect perfectweight many many executed fullness easy hot easy many casual collected mistaking bought,1,0.437878788
136,1,new love looks little brown goes great great polished casual nice soft true natural fifth petite good,1,0.243257576
137,1,short received sky keeping beautiful made little wide short hitting shortness,0,0.043229167
138,1,feminine obsessed see unflattering excited arrive nice feminine true want returning want,0,0.011666667
139,1,love flattering classic comfortable make worn weight styled different higherend bodyhugging sized,3,0.314583333
140,1,going layered reversible appropriate layered great feel lucked,0,0.44
143,1,great classic big went good dressed wa nice casual,1,0.330208333
144,0,firned tried first take trying beautiful sensitive true,0,0.466666667
145,1,snug right looked big going worked give big next looked nice built next nice,2,0.247252747
146,1,found big bad sold sold narrow able great brought loved told,1,0.142857143
147,1,purchased fell cheerful love practical,4,0.458333333
148,1,real sizing true tight compared ordered fit want big,0,0.229220779
149,1,beautiful wonderful seems high impeccable looking wearing dressed dressed worn designpattern artsy whimsical true,3,0.314545455
150,1,gorgeous noted beautiful intricate rich,2,0.641666667
151,1,beautiful amazing small ordered little,0,0.210416667
152,0,impressed keeping tackylooking cut odd fit flat shaped shown good metallic looking,0,0.332142857
153,1,fair stitched uncomfortable large little prompt modest,1,0.065357143
154,1,great love figured ruched window poor know torso got low loose,0,0.090796703
155,1,beautiful agree sensitive got,0,0.4875
157,0,australian disappointed limiting australian ordered sold fir says australian gutted sizing made adorable,5,-0.057142857
159,1,vibrant metallic going based ran big big beshowed,0,0.236979167
160,1,sad beautiful perfect look clown hard fake sure real,0,0.239814815
161,0,uncomfortable says vibrant interesting positive uncomfortable solved stiff,0,-0.059403559
162,1,scratchy usual metallic ordering realized go strapless strap obvious needed ordered comes,1,0.25
163,1,classy unique think worn,0,0.295
164,1,bought love fell able seems little weak pilled textured looked ready north get love,4,0.182291667
166,1,pictured bought petite perfect tiny pictured bright multiple,0,0.457142857
167,1,great perfect light fitted,0,0.474305556
169,1,beautiful surprised receiving sure saw beautiful simple elegant adds extra enough low lined aline overall,1,0.253846154
170,1,sleep little tight,1,0.058482143
171,1,adorable ordered xs soft came,2,0.3
172,1,purchased get comfortable told loved draped angled different perfect hot good go,0,0.565
173,1,great goes go layered needed small got medium hoping little overall,2,0.201785714
174,1,going beautiful made pear shaped flattering agree small sized bestowed massive,0,0.2875
175,1,casual happy expecting fine hot got striped soft large,0,0.170535714
176,1,perfect casual considering getting comfortable dressed true small,1,0.335
178,0,vivid autumnal overall large falls small maternityish cheapish made lining liked unraveling took returned,0,0.268253968
179,1,perfect extra middle perfect accentuating good negative purchased pink gorgeous pink much portrayed found true large depending little fitted came,1,0.21167328
180,1,loved green flattering petite looked little lost sold,0,0.032638889
181,1,thought regular nice bright fit nice think much give comfortable petite knee shown want extra,0,0.233333333
182,1,many bought second enough different bare live hot right give little goes large,2,0.148898423
183,1,beautiful great great learned previous sized read small took went,2,0.397916667
184,0,pictured great ordered found pictured pretty sure pinned make appear makes,0,0.178571429
185,0,strange worried ordered wishful thinking gone gut rumpled flattering shame bottom wearing,2,0.061111111
186,1,great length nice waisted purchased next,0,0.451428571
187,1,modern amazing providing unique,1,0.391666667
188,1,gorgeous came gorgeous bohemian snagged trying raw needed fresh fit small big decided ill keep,0,0.12525641
189,1,small tight washable good,1,0.220238095
190,1,love bought green looks fitted,0,-0.029166667
191,0,thin going thin normal swing come special,0,0.055194805
195,1,swing ive wanting current ive tried looks dumpy flattering small soft got thinking going,2,0.105555556
196,1,great bought neutral many cute fabulous washed going,0,0.445
197,1,love sizing fit think suppose little fit true think beautiful good,0,0.490277778
198,1,made great,2,0.9
199,0,poor pictured fits great purchased got third wide open say returned,0,0.007142857
200,0,got small made seems tshirty soft thinish formfitting flattering went,0,-0.05
202,0,worth bought disappointed cheap female felt gorgeous blue returned,0,0.190740741
203,1,tunic covering nice ultra looking pregnant wrong light,0,0.180555556
204,0,big loved reminded big found tugging keep big shortwaisted appear,0,0.033333333
205,0,small bad rich runs small tight comfortable,0,0.049675325
207,1,loved small ended getting tighter became overwhelming looked stated,0,0.256666667
210,1,worn several flattering lightweight easy soft,0,0.233333333
212,1,classic excited arrival structured fit tight anticipated loved classic decided returned fell open touch added old,0,0.279212454
213,1,new bought gotten small fit little snug,1,0.168607955
214,0,pictured received little blue green red fine,1,-0.021354167
215,1,detailed looks colorscutdrape deep elastic felt fitted runs small shouldered dreadful lined purchased,1,-0.146938776
216,0,small bought large runs small,0,0.052857143
217,1,adorable navy ok looks much adorable big removed odor disappeared,2,0.316666667
218,1,falling makes bohemian,0,0.261904762
220,1,last needed tried found boxy short nice gave forgiving liked piled small wanted fit sized,0,0.125
221,1,perfect flat easy many great,0,0.534722222
223,1,needed easy perfect flattering unique ive received handful wearing lbs small chose small say loose prefer scoop normal ive noticed comfortable,0,0.245673077
225,1,gorgeous soft comfortable tight go flattering difficult find perfect fit done wonderful tried regular hoping,0,0.222959184
226,1,nice big went coloring,0,0.294444444
227,1,great wearing tried usual felt tight sure get good lightweight keep,0,0.180735931
228,1,fresh lightweight thin wrinkled dressed deep much deep,0,0.194155844
229,1,petite able short nottom cant hemmed heel gorgeous true snug enough keeping find big,0,0.255555556
230,1,large bohemian tried petite usual go xxs looked overtaken ok athletic light great go wrong ordered liked great,0,0.259480519
231,1,wonderful flattering tried liked surprised liked great alternative great hot subtle vertical go elongate overall low,1,0.365151515
232,0,light large looking l tried flowing liked fit underarm low ordered see,0,0.280612245
233,1,right classic tried high classic flattering frayed want distressed particular muscular happy,1,0.177420635
234,1,large ordered usual runs generous sizing little beautiful anxious,1,0.078348214
235,1,comfortable stylish give elongating comfortable feeling,1,0.112585034
236,1,got small fit great perfect,3,0.292857143
237,0,expected similar ordered thought different keep,0,-0.066666667
238,1,beading little sweatshirt little expected fit said ordered thick nice,2,0.11375
240,1,perfect mediterenian ordered online looking lightweight hot needed striped adds,0,0.566666667
241,0,loved washed fell loved tried flattering huge soft striped bummed washing followed wash low started appearing ribbed hem holding,0,0.254166667
242,1,flattering went ordered based previous ordered loose adorable,1,0.117948718
244,1,recommend particular super fitting went usual felt tight wanted,1,0.172619048
245,1,expecting comfortable casual see online,1,0.247619048
246,1,small tried run small think great,0,0.161011905
247,1,nice nice substantial lined structured seems good true small go small able dropped find,0,0.294155844
250,1,perfect hemmed lost bottom think high crisp,1,0.348666667
251,1,tunic natural tunic little large altered,0,0.289540816
252,1,cropped light seem run small sized usual seem stretch take necessary thin,0,0.134722222
253,1,cute casual coming buy second pink favorite great casual,1,0.095555556
255,1,big soft easy big,3,0.183333333
256,1,stylish understated elegant purchased regular small waist falls shown low purchased unique think skinny make look stylish,0,0.275833333
257,1,beautiful agree small get decided got breathing evening wonderful,1,0.211904762
258,0,extra hanging,0,0.277777778
259,1,love sure fit got snug put get gotten large,0,0.337755102
260,1,received disappointed made soft felted,3,0.080729167
261,1,adorable flattering got great go many purchased,0,0.45
262,0,go wanted excited receive thought realistic assuming sheer given seem short coming shortwaisted soft,1,0.233974359
263,1,made goes,1,0.625
264,1,amazing ordered,2,0.583333333
266,1,incredible wearing local loved gorgeous bright big kept xs sold got taken vacationing turned thinking,2,0.395833333
267,1,nice short say true short wish came tall,1,0.29
268,1,seem looks cute threw first,0,0.291666667
270,1,nice liked ruffled stitching middle tacked bought comfortable good,0,0.333333333
271,1,perfect sized small right short cropped,0,0.258928571
272,1,great removed great si little goes peplum looking love wish came super tired eptite,0,0.146388889
273,1,gorgeous bought gorgeous nice,6,0.6
274,1,soft baggy little think athletic bought wanted little small worked fitted great,2,0.128125
275,1,great stylish,0,0.566666667
276,1,love large makes great layering,0,0.377380952
277,1,full contrasting fitted wearing washing looks true tight went usual med perfect sleeve going true,2,0.354563492
278,1,styling cute gets cheap cheap crazy seen paying full,1,0.025
280,1,comfortable chic small running small fit fine small perfect live east great fitted waist light great,1,0.300252525
283,1,perfect want live boxy looking sloppy,0,0.230606061
284,1,liked definite ended altering remove great dressier soft comfortable wish little,0,0.268452381
285,1,missing last similar purchased beautiful bought wedding curious bought keep come next,3,0.172222222
288,0,wanted going opening unfolding noticed distressed looking missing soft floppy ordered,0,0.025
289,1,perfect love give distressing much strange distressed dressed overall favorite great fit,1,0.3875
290,1,perfect cut brilliantthe sturdy rolled,0,0.696428571
292,1,super sold expected good short tucked nice,0,0.403703704
293,1,wish runs small ive looking went liked stiff prefer soften washed ran small take xsmall small small leave enough worked feel sizing ill wait goes,0,-0.005612245
294,1,lost favorite liked great heavy heavy enough stretchy great happy ordered normal take small possible lost several big,0,0.216666667
296,1,think coming high perfect looks great high,0,0.44625
297,1,new listened ordered large usual love soft washing,1,0.198636364
299,1,ordered small perfect super soft,0,0.383333333
301,1,perfect searching perfect modern small xs seem running know ordered wanted able returned great,1,0.209981685
303,1,received many several stopped tell beautiful,4,0.466666667
304,1,stylish,0,0.406666667
305,1,adorable little jean went little snug true heavy perfect dresses adorable great,4,0.31875
306,1,stunning flattering first due resisted saw tried decided getting thin sell online take super flattering smallchested fit got dressed,1,0.244166667
307,1,bought trying looked nice challenging live finding flattering tough amazing right making looked great,2,0.275629926
308,1,distressed ordered small returned ordered fits great huge keep buy,0,0.416666667
309,1,stunning purchased good felt good purchased cropped making perfect,0,0.725
310,1,much nice tight ive gotten several goes different much,0,0.201948052
311,0,large looks beautiful much large small,0,0.245714286
312,0,unflattering true large,1,0.282142857
313,1,adorable purchased patterned complimented found true washing little want great,1,0.244642857
314,0,thought adorable fit much ordered small,0,0.2125
315,1,made flattering think true got regular petite short wearing wearing think worn,2,0.442857143
316,1,easy wore pencil shown similar great blue happy short usual worked,5,0.264333333
317,1,printed purchased beautiful printed small fit chested go whe noticed popular due hot,1,0.32202381
318,1,love bought exceeded expect soft warm see favorite fits great,1,0.325
319,1,loveee awesome soft repeating positive previous full,0,0.138825758
321,1,favorite new unique thin,0,0.238299663
322,1,beautiful small busted usual full full small much supposed full say going little sized,0,0.138541667
324,1,misleading beautiful vibrant regular come ankle neat allows nice great think run large lined closed,1,0.340079365
325,0,disappointing mentioned short great thin hanging front cute little makes going,2,0.02375
326,1,think care styled interesting depending regular elongating flattering overall lightweight due,0,0.315909091
327,1,low,0,0.228125
329,1,flattering blue gorgeous interesting short happy keep,0,0.43125
330,0,fit high short,0,0.032
331,1,beautiful potential true little big ordered medium usual keeping wish define,0,0.1453125
332,1,good flattering short adds special,2,0.202142857
333,1,got beautiful many enormous,0,0.341666667
334,0,good short wide cut wide looked wanted beautiful wrong ive several made fine ordered usual going wrong,0,0.132291667
335,1,purchased flattering much chic stylish,0,0.233333333
337,1,beautiful delicate got give wanted going detailed fell picked ill usual available,1,0.224825175
338,1,interesting received noticed thought sticky sticky sticky,0,0.5
339,1,based purchased looks great denim loose flowy little short true small worked,1,0.19463141
340,1,beautiful ordered online beautiful good large wide exchanging,0,0.502857143
341,1,beautiful beautiful overwhelming,0,0.675
343,1,nice basic tried nice soft good basic many decided wait thrill make bought nice goes,0,0.3
346,1,soft patterned long bought trying regular good busy finished makes soft soft,0,0.15
347,1,great soft built purchased small cropped smooth,1,0.335714286
348,1,purchased small short beautiful favorite new red gorgeous,0,0.358636364
349,0,perfect fit right little boxy low loved wanted,0,0.295684524
350,0,disappointed beautiful materialeverything needed tapered easy maintaining beautiful flow disappointed fix buy small perfect,4,0.172916667
351,1,ruffled love floral ordered great cut little pictured short mentioned torso crazy victorian tucked looks great,1,0.23625
352,1,huge large funky revealing perfect want composed,0,0.464285714
353,0,thin thin synthetic seen set helped putting hard anticipated,0,-0.063095238
354,1,soft saw tried sold super soft flattering petite bought short needed,0,0.106666667
356,0,cute special made rose gold puffy dry arrived came stuck unfold wants,0,0.243290043
357,1,worth wearing small goes many washed flat dry great casual,0,0.169791667
358,0,good large needed small returning bottom unflattering makes wide wearing unfortunate,0,0.114285714
359,1,nice runs small short solid went thought think flattening short short hitting,0,0.047142857
360,1,amazing gave lining due chic warm looks amazing little liked hard,2,0.272916667
361,1,great layering adds warmth visual adding paired seen great staple casual,0,0.308333333
362,0,super sized squeezed low go tried wonderful,0,0.296666667
363,1,thin different detailed oversized petite great,0,0.39
364,1,special agree including noted special,1,0.378571429
365,1,light casual,0,0.25
366,1,tried got navy stripe nautical went xs overlooked unimpressive tried tried clingy comfortable gives little,1,0.3375
367,1,romantic elegant beautiful sure getting bad tall flattering say fantastic think regard romantic short took athletic,1,0.265714286
369,1,agree rave true wearing figuring different great thrilled able regret,1,0.409659091
371,1,love tried local small oversized noticed right tried decided,0,0.026190476
372,1,cool great pattern super finding wool sure keep want boiled,2,0.466666667
373,1,modern skeptical first makes versatile pattern makes interesting designed compete similar shown purchased regular,0,0.252777778
374,1,subdued sexy flattering flattering pleating provides touch super hide tummy short going,0,0.099338624
375,1,small slimming tried small ordered fitted worried good looking slimming,2,0.314285714
376,0,looking basic soft liked returning,0,0.2
377,1,going flattering sexy dressed nice,2,0.504166667
379,1,elegant eyecatching elegant attracted classic,1,0.363095238
380,1,ive looking perfect workappropriate pointed collar rolled shortsleeve done tiny gorgeous used,2,0.358333333
381,0,poor disappointed thin made substantial worth,0,-0.14375
382,1,soft big oversized want upbut great,0,0.1
383,1,deceiving expected bottom careful wearing received noticed small paid full packed,0,0.027777778
384,1,great large ordered large reordered small made received,0,0.213857143
385,1,think runs true went great say layer,2,0.283333333
386,0,executed short ordered usual short ended tall low knee vertical seems exacerbate jagged edgy shown old,0,-0.059090909
387,1,beautiful nice great beautiful appropriate bought normal small pictured little tunic,1,0.382291667
388,1,great looks pleasing many different little large true small little,2,0.187637363
389,0,bad amazed made hemmed thin expecting made good high,0,0.02625
390,1,flattering ordered online looking understated new looking minor met made flattering need little ironing conscious,2,0.214886364
391,1,saw online struck seeing detailing tried great beautiful soft new little shown,1,0.49222028
392,1,tiny close sizes nice oversized fit soft amazing kept worn,0,0.123809524
393,1,small different runs small take comes said cute flaws sure,0,0.186363636
394,1,soft exchanged wanted tend large big soft,0,0.171428571
395,0,surprised loved much different much enough fitted short ordered say made going,0,0.233333333
396,0,made last fine casual bought say looks old huge tired soft poor,0,0.121666667
397,1,loving great fit bagging sagging fit true take,4,0.458571429
398,1,big tried layered felt nice good little delicate washed looked depicted came looked little maternityesque gorgeous made,0,0.182083333
399,1,makes cute love w big sleek,3,0.442857143
401,1,classic constructed fitted small perfect derby great touch appropriate simple classic gorgeous,1,0.425757576
404,1,sweet little soft summerweight see worn dressed nice,0,0.127083333
405,1,comfortable bought large wedding comfortable looked good got lot outfit thought loved high low sizing,0,0.377428571
406,0,got nice formal made lining puffed uneven last made,2,0.4
407,1,soft soft comfortable awaited disappointed sizing accurate perfect detailing necklne extra touch casual,0,0.269230769
408,1,stylish good fit petite right thigh slim nice wearing washing update much,1,0.398412698
409,1,sweet casual adorable loose helps slim tapered soft soft happy,0,0.181868132
410,1,perfect walked low finding casual multiple dressed depending incredible took made tightening sash extra,0,0.190692641
411,1,gorgeous able sold see outstanding flimsy makes smile,3,0.364285714
412,1,great rough went took help zip beautiful true extra made fit weird,6,0.33
414,1,love tunic super ordered looks great,0,0.476190476
415,1,flattering great thought worth reviewing many agree thin compared used dresses flattering fit nice expect go thinking disappointed sizing regular ordered several,1,0.161111111
416,1,love liked open wearing little closed go felt revealing little open comfortable aspictured reviewed polka wish,0,0.159821429
417,0,flimsy dresses neckline loved going,3,0.19
418,1,super super looks awesome true purchased normal small,0,0.345238095
419,1,pattern fell due ordered normal petite received surprised bad big wanted gorgeous,1,0.1546875
420,1,easy based ordered blue french soft structured fit little oversized,1,0.216203704
422,1,purchased green sure due thought little snug tried small big worn great thin purchased green,0,0.036458333
423,1,small small covered disappointed say give great great love different different bad,0,0.053611111
424,1,love bought red thin happy came navywhite,1,0.175
426,1,disappointed got excited said ran large ordered looked noticed misaligned want seeing available sure find,0,0.182142857
427,1,chic super stylish,1,0.426666667
430,1,beautiful great great going tts,1,0.625
431,1,soft happened upon local exclusive finding loved soft fine gives looks nice belted left open small small need long,0,0.18764881
432,1,great found fit found sizing little pretty short found opted regular got great great styled cardigan see dressing,0,0.326893939
433,1,ordered yellow found true works great need high came right normal want showing amazing good,0,0.39547619
434,1,flattering tried red fitted snug lbs fit xspetite washing say remove tie washing put little relacing bought red red,0,0.249621212
436,1,soft purchased small rich soft ride sleep constricting tested local held making hot right says,1,0.123701299
437,1,great looking faded deep large petite make zipping leaving open,0,0.153869048
438,1,perfect petites fit get many libs fit tight good small true,3,0.274553571
439,1,love live beginning ive worn extra hoodie small underneath gets soft stylish put,1,0.198636364
440,0,loved tried bunched ordered second tried go big huge sizing ive tried fit,0,0.24
441,1,casual ribbed thick purchased red ended returning regular,1,0.141025641
442,1,red nice true nice good great,0,0.508333333
443,1,undecided ordered petite given light need,0,0.367857143
444,1,great casual nice laced neckline revealing worn tied looking prudish open,0,0.138888889
445,1,ordered little fell little edgy detailing right appeared online much holds,1,0.143005952
447,0,unimpressed real much hoping good layering playing bought trying figuring small reminded returned works,0,0.218614719
448,1,red got red vibrant nice,0,0.186666667
449,1,love,1,0.45
450,0,disappointed liked looking distinctive new got tried took went onlinenowhere mentioned text green good,2,0.148874459
451,1,great warm soft appears wool soft ordered large fit big liked little kept large open,1,0.207775298
452,1,love ive bought olive green red bought simple neckline boring true fitted due unflattering highlighted close,0,0.05467033
453,1,buy amazing,3,0.433333333
454,1,revealing bought buying soft,1,0.372222222
456,1,comfortable navy amazing comfortable thick sure,1,0.210416667
457,1,perfect got navy loose comfortable dressy large sized little liked loose wanted,0,0.209456889
458,1,overall purchased believe navy camisole low large sizing decided live large,0,0.147492785
461,1,purchased beautiful colorful said cut nice fit fine go wish little personal,0,0.335984848
462,0,great large bust hard find clothing make beautiful makes ordered looked arrived excited beautiful wrapped beautiful ordered gorgeous,3,0.392124542
463,1,hugging ordered nice hugging unforgiving large much overall nice keeping hoping,0,0.373469388
464,1,romantic unique unique flowing romantic nude small bought tried looked fell recommended,1,0.240909091
465,1,extra adds got normal hoping special go showing comfortable wearing outside going huge crazy made,0,0.177472527
467,1,great nice got grey petite large perfect accessorize,1,0.494047619
468,1,soo cool good,0,0.3875
469,1,love flattering flattering gorgeous comfortable formfitting provides right,1,0.421428571
470,0,opened tried adorable recent rolling took noticed returned figured solved good gets constructed,0,0.264814815
471,1,love comfortable soft relaxed fit easy wish bought,0,0.388888889
472,1,gorgeous love nightworthy embossed,1,0.533333333
473,1,comfortable supportive considering large,0,0.228571429
474,1,super flattering bought navy youthful young good fitted making flattering heavy mentioned short,0,0.279166667
475,0,poor bought wanted got tts bright looking offwhite lacking typical marled seems band,0,0.095833333
476,1,flattering easy good,0,0.327083333
477,1,took tried worried boxy put love long regarding cropped makes starting warm,3,0.345
478,1,cute large bought liked waist large returned,0,0.246428571
479,1,great ordered solid seemed good overall favorable liked stayed moving many ontrend cold put ran large recommend sizing ive seen printed floral chic,0,0.158791209
480,0,busty nice want,0,0.6
481,1,flattering tried usual patterned nice vibrant flatering gives nice detailing give make,0,0.358333333
482,1,love wish long hesitated went glad comfortable flattering looks blue ordered decided go petite super short concerned bad say,1,0.116666667
484,1,agree make boxy great goes great,0,0.516666667
485,1,large soft stylish listened said ended shrink,1,0.127380952
486,1,ordered comfortable placed short comfortable wearing comes hoped mean short selfconscious,0,0.181944444
487,1,great named live great little revealing cover little elastic gives,1,0.238444056
489,1,used special got adopted curatorial dramatic comfortable ive received many ive wonderful,1,0.364761905
490,1,made new favorite dressed loose flattering happy,1,0.30743007
491,1,layered got navy little large ordered small comfortable inner soft soft ive worn several happy,0,0.193086081
492,1,wanted short came couple short asked haha adorable short,2,0.177777778
494,1,flattering comfortable ordered small go depending great significant fell small fell felt stretch keeping small lined good,2,0.25534188
495,1,love small live say kidding wearing many forgotten peasant peasant fitted ordered worked,2,0.255194805
496,1,feminine different floral interesting unique comfortable flattering due flared fit true great,0,0.310714286
498,0,cropped wide petite wide cropped,0,-0.066666667
499,0,weird drew sure fit became tentlike great,0,0.239583333
500,1,nice short made wish boxy comes separate cropped raise see layer underneath necessary short ordered,0,0.087037037
501,1,conservative modest little hidden keep fussing tie loose high give little matching camisole overall tried enough extra,0,0.077588141
502,1,comfortable got,0,0.45
503,1,itchytown want great cropped intended worn makes immediate coming serious,0,0.155555556
504,1,flattering bohemian seems flattering love received placement asymmetrical expecting ordered new keep second small,0,0.055194805
506,1,cute weird first short regular adorable comfortable short high good flared,0,0.236428571
507,1,awesome saw online found depending tried see much torn went find flattering awesome,1,0.288095238
508,1,colorful comfortable liked various used short appear proportional sent,0,0.175925926
509,1,great picked preppy normal complimented ive owned flattering felt fit,0,0.484848485
510,1,gorgeous flattering perfect beautiful coral mixed amazing little large sized comfortable unique special ive many recommend,3,0.445231092
511,0,cropped itchy assuming showing cropped cropped cropped high tried came bad tweaking,0,0.156
512,1,petite short got small petite thinking exchanging regular short short,0,0.186363636
513,1,wish slim wide look adorable different,0,0.064285714
514,1,elegant made preferred large large love looks delicate heavy durable looking lined wearing,0,0.207857143
